UniqueCount	AmbigCount
4	29
0	7
11	602
0	0
0	13
0	3
0	0
0	12
0	12
0	0
0	0
0	0
9	44
1	1
0	7
0	5
0	0
0	25
58	51
0	47
0	5
0	7
96	27
0	3
2	38
1	5
0	0
0	0
0	8
45	736
0	0
22	306
0	286
4	261
37	59
0	8
0	173
0	72
0	4
0	6
0	2
0	6
0	5
0	10
1	2
0	5
0	8
0	8
1	11
0	3
20	4
3	97
0	11
0	72
0	55
10	9
0	9
0	11
0	7
0	0
0	0
0	4
0	25
5	68
0	0
0	5
1	7
1	3
1	3
0	1
0	6
0	5
0	0
0	10
0	5
3	6
0	9
0	3
0	1
0	1
41	1586
900	9443
69	96891
0	216
14	3818
1	49
5497	6300
5	3631
0	0
0	0
0	4
2	29
62	417
0	18
0	0
0	0
2	8
3	3
2	17
0	13
0	2
0	5
5	5
0	2
0	0
8	2
0	7
0	5
4	8
2	5
0	6
3	2
2	15
3	17
3	5
3	1
2	2
0	2
4	2
1	19
0	4
214	46
0	11
1	14
0	15
0	12
0	6
0	54
0	22
0	16
1	13
2	4
7	6
3	6
24	10
2	5
0	1
0	4
0	0
0	0
0	0
5	2
2	2
24	12
0	4
0	8
3	6
0	6
0	190
0	177
0	192
0	191
0	191
0	191
0	179
0	179
0	179
0	184
0	87
0	0
0	21
6	7
0	3
1	443
73	1093
27	1057
3	0
0	245
8	20
54	166
2	169
14	49
8	51
17	4
0	13
1	15
0	14
0	2
0	3
0	12
1	7
0	12
0	0
0	2
0	2
1	2
0	2
0	134
0	104
66	134
0	0
2	0
118	2594
0	2595
0	2
0	41
2	140
5	86
0	12
3	69
0	175
20	655
0	27
0	5
0	9
0	5
0	0
0	3
0	2
0	0
2	0
0	120
0	102
0	119
0	115
15	98
3	121
0	115
0	22
0	94
2	46
0	34
0	38
0	16
1	14
0	9
0	8
0	5
0	4
1	3
0	0
0	0
0	0
0	0
0	0
3	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	3
0	1
0	1
0	2
0	2
0	0
10	5761
0	4891
0	5262
55	2279
8	1743
1	2131
0	1502
527	0
0	0
0	0
3	2
1	2
1	0
12	1
1	589
0	594
0	615
2	415
0	468
0	396
2	383
12	100
0	350
0	296
0	92
0	103
0	150
0	112
2	115
3	14
0	38
1	47
9	73
2	5
5	3
7	3
2	108
0	90
13	102
0	99
2	16
0	97
2	4
3	29
2	926
70	913
6	615
0	607
3	14
9	103
5	157
5	19
55	215
9	104
36	68
0	41
16	3
1	0
15	204
3	90
3	32
0	139
7	94
1	567
0	874
0	876
0	637
0	551
0	915
0	160
0	715
0	639
99	590
17	464
1	592
0	872
0	655
0	583
0	790
0	814
0	275
4	165
4	140
0	669
0	172
0	258
0	254
0	170
0	192
0	378
0	31
4	73
0	342
2	179
0	147
0	275
0	242
0	242
0	21
4	9
0	132
0	282
0	206
0	134
0	184
0	180
0	131
0	107
0	97
0	119
0	10
0	17
3	0
0	0
27	0
2	126
212	163
1	45
12	0
1	999
5	994
0	699
0	205
0	237
4	103
0	74
5	93
0	0
0	6116
10	9309
0	10243
46	7285
13	9825
4	3170
0	2150
73	3463
3	293
1	84
1	645
80	626
0	627
6	642
7	91
1	16
1	0
82	1993
3	2107
7	1319
7	2446
13	4141
1	2755
1	1702
3	3196
0	3347
0	1424
0	1817
1	576
6	541
2	474
1	641
0	918
25	112
0	334
4	52
1	167
3	72
0	229
11	234
0	20
0	14
0	222
2	222
0	86
81	490
0	212
35	397
17	33
16	239
2	93
0	1
76	63
0	18
0	18
0	19
0	12
0	7
1	0
2	0
0	0
0	0
0	0
0	0
0	19
0	57
4	76
0	7
11	57
0	1
0	3
6	221
40	204
2	43
18	116
30	86
11	468
0	451
0	444
0	444
0	13
2	48
0	58
0	53
0	53
14	2
219	1764
5	1235
1	550
74	213
16	23
0	0
66	0
88	5
1	800
0	811
0	725
0	824
53	816
1	752
0	789
28	50
1	65
1	796
1	77
0	664
0	40
0	11
0	110
0	801
6	597
0	72
0	717
2	675
9	29
6	30
0	624
6	101
6	37
0	50
0	156
0	220
0	235
4	119
0	52
7	57
2	313
1	43
7	187
11	282
0	218
0	153
0	155
1	133
4	57
5	47
62	1455
0	1398
2	1186
0	1372
0	1270
0	1117
0	1115
0	1116
0	312
0	152
12	475
0	3860
5	3838
45	1397
13	503
26	14
2	9
0	309
0	792
0	217
1	660
0	760
0	635
0	802
0	707
0	750
0	800
0	743
3	45
0	99
0	30
0	5
0	88
1	9
0	15
0	130
1	94
2	89
1	18
0	24
2	23
81	749
4	0
200	151
6	0
0	16
6	365
25	35
5	325
0	1460
0	1440
2	1328
1	628
1	20
0	243
1	113
0	99
3	180
0	103
1	70
0	109
3	270
1	188
0	190
4	124
0	0
21	7567
0	6784
36	7868
20	1254
0	2230
3	1024
2	1486
0	905
0	24
0	198
2	0
1	0
0	0
5	1
0	1
0	1
1	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
5	6
0	0
0	0
7	10
2	1
1	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	13
0	7
0	0
0	0
0	0
0	0
0	0
0	74
0	0
0	0
0	0
0	0
0	0
0	74
0	1
0	35
0	0
0	1
0	0
0	1
0	0
0	3
0	1
0	1
0	0
0	0
0	1
0	0
0	74
0	4
0	24
0	67
1	1
8	13
21	0
3	0
2	253
18	281
4	422
0	471
1	278
68	309
0	218
0	347
0	358
10	376
12	341
0	163
0	273
2	5
1	0
1	0
2324	139
0	0
0	64
8	75
2	31
1	28
6	29
0	4
12	22
1	15
22	13
0	14
4	7
0	4
0	1
0	0
23	2
0	2
3	1
0	2071
0	248
0	2581
3	769
3	40
6	1387
23	629
169	1059
3	312
5	1093
0	639
0	592
2	118
0	45
0	19
0	20
1	21
0	0
0	2
0	1
0	1
0	2
0	1
0	1
0	0
0	0
0	0
1	320
0	277
0	208
1	41
0	17
1	5
1	9
0	28
0	80
1	20
3	0
0	11
0	0
0	0
0	3
0	2
8	46
0	0
0	1
0	24
0	150
2	176
0	183
0	176
0	152
0	410
0	269
5	137
0	145
17	154
46	328
0	336
0	47
1	117
0	0
1	65
0	0
0	0
0	86
0	85
0	389
0	380
0	411
0	386
0	106
0	408
0	110
0	40
0	30
0	61
0	385
0	32
1	345
0	27
0	28
0	4
0	3
0	0
0	0
0	0
0	0
0	0
0	0
26	1
0	0
0	0
0	0
0	0
0	0
0	2
0	1
0	0
0	1
4	3
0	0
0	0
1	0
0	28
0	0
0	31
0	28
11	31
0	25
0	0
0	27
0	8
2	1
0	0
0	0
1	2
3	0
0	2
0	2
0	2
0	1
0	0
0	0
0	0
0	0
15	270
5	349
0	26
8	279
0	48
0	49
1	15
0	0
11	0
312	1865
0	1865
13	264
16	269
54	35
1	147
0	53
0	35
0	18
0	113
0	93
0	27
0	6
0	6
0	0
0	6
0	6
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	20
0	429
319	654
0	11
3	528
10	433
9	73
0	203
0	59
1	42
0	2
5	20
0	1
0	1
6	9
0	6
0	9
617	152
3	149
3	32
0	1
16	0
269	508
0	19
1	85
0	64
1	36
2	55
1	303
0	26
0	90
0	36
0	92
0	8
0	99
0	99
3	98
1	88
0	92
2	92
0	92
0	90
0	9
4	6
0	13
0	342
9	357
15	335
1	0
10	5
3	8
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	4
0	0
0	3
0	0
0	0
1	3
0	0
0	0
0	0
0	38
0	36
0	174
0	205
0	209
0	164
0	7
0	13
5	4
0	126
0	10
2	18
2	176
0	0
0	59
0	12
1	2
0	172
0	169
0	33
0	38
6	42
0	9
0	169
0	2
0	1
0	159
0	69
0	0
3	27
1	6
0	0
0	2
0	1
0	5
0	0
0	3325
3445	6126
48	6129
0	5951
3	5507
1	4280
0	3387
1	3322
4	0
8	7
2	2
11	77
8	9
5	70
0	2
0	1
0	21
1	10
1123	1771
1	56
24	1703
6	663
0	12
1	9
0	0
858	0
0	537
23	509
0	509
7	509
0	491
0	491
0	543
0	545
0	290
0	1
0	3
0	17
0	0
0	0
5	12
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
1	1
0	0
1	0
0	28
15	36
0	25
0	25
0	24
0	26
0	23
0	17
0	10
0	15
0	11
0	7
0	15
2	15
0	3
0	10
0	6
0	5
0	8
0	1
2	248
1	259
0	259
1	261
0	262
0	262
2	154
0	215
0	241
5	244
0	244
1	180
0	0
297	106
1	31
0	16
1	16
0	8
0	0
1	0
0	7
0	7
0	5
0	0
0	67
5	58
3	177
0	54
22	102
15	50
0	61
0	21
0	2103
86	2264
0	407
11	344
0	358
0	195
614	62
0	62
15	188
3	1
5	167
3	467
0	91
1	99
6	91
0	18
3	701
0	390
23	1219
2	756
0	155
8	294
4	224
0	56
2	207
2	157
0	92
2	7
0	0
0	4
0	0
0	0
3	0
9	112
2	122
1	155
4	214
1	107
0	92
0	143
1	110
1	50
0	54
1	44
0	21
2	3
0	4
0	2
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	3
2	0
0	0
3244	560
64	560
0	137
11	0
3	86
0	510
0	504
0	510
3	496
2	10
3	5
3	9
0	17
2	8
1	52
1	0
0	0
9	20
0	4
0	0
0	0
0	0
0	1902
3	440
28	2464
5	2397
2	1532
0	913
1	2337
0	2164
0	792
1	1132
0	0
0	43
796	671
44	590
4	344
8	210
8	2
0	12
0	0
0	0
0	0
0	0
0	0
0	0
7	104
0	104
0	79
0	27
0	0
0	2999
8	2895
0	72
0	709
12	1965
18	1933
0	140
1	88
1	213
3	38
1	29
3	22
0	46
1	143
0	5
0	7
